plaintext, ciphertext
WLLINSZNDWBOFBXIGRYOQEPFVXSWCLSIUPNSMSURWKRWOZULMRXCXLXXRSYAFJTNFKHQRDLGFRJNKWJBKRZLKTUZMGLBPGZHVBADVEO, ODDAFKRFVOTGXTPAYJQGIWHXNPKOUDKAMHFKEKMJOCJOGRMDEJPUPDPPJKQSXBLFXCZIJVDYXJBFCOBTCJRDCLMREYDTHYRZNTSVNWG
MTWDEYGQVGNOCXMYZTGEBOZVXRTLYTGGFOMZNDTHHFFGNVMDXHTTVFRSGLTIGQOKTBKLWIZTYKPYHXTTRQOFNROORLUFWFYGVSKBUEHOOMSIRQEQLLJLGWJJLOVUXU, UBELMGOYDOVWKFUGHBOMJWHDFZBTGBOONWUHVLBPPNNOVDULFPBBDNZAOTBQOYWSBJSTEQHBGSXGPFBBZYWNVZWWZTCNENGODASJCMPWWUAQZYMYTTRTOERRTWDCFC
IIILNMWDNNTUTFBJGLOLWJJBHTUBWYAEHEIALNAPFUSDXLAORJJSTDRBOPNORGZOHCCZCCSOCPOKOQZWKLFCISVBWZVRKZNKGQTELAOZOUWYZJIV, MMMPRQAHRRXYXJFNKPSPANNFLXYFACEILIMEPRETJYWHBPESVNNWXHVFSTRSVKDSLGGDGGWSGTSOSUDAOPJGMWZFADZVODROKUXIPESDSYACDNMZ
OOHNFNQQHBAZVOVJKWQJHBHFVNOATZYEBIZRSIOYZTVSLDTGLXEQ, YYRXPXAARLKJFYFTUGATRLRPFXYKDJIOLSJBCSYIJDFCVNDQVHOA
JBHLQANEANHPRNRHJTRODSIZLPLQLVMVJWMDMKNXFUTOLXMKMXYGQSGUUPSQQTUQDBHFROSIRSZDIHRRVJDUBY, EWCGLVIZVICKMIMCEOMJYNDUGKGLGQHQERHYHFISAPOJGSHFHSTBLNBPPKNLLOPLYWCAMJNDMNUYDCMMQEYPWT
IQJSAOTCTPFNTEBQVQYODGSTDMTEGVJJMYJZSYDCTGREPTZKNWQAUOXHJLAOJNRNEYFFKPKVHLPVEEXVHARINEQKHMFKVWTDHETEKIGYMDKZGHKDUGXBF, DLENVJOXOKAIOZWLQLTJYBNOYHOZBQEEHTEUNTYXOBMZKOUFIRLVPJSCEGVJEIMIZTAAFKFQCGKQZZSQCVMDIZLFCHAFQROYCZOZFDBTHYFUBCFYPBSWA
YLAPBPMKQSMFEVOFYVDQGZGXRIHVEHOAXDRMNHZITRMFBXOGGRTQCSWKLTYOW, YLAPBPMKQSMFEVOFYVDQGZGXRIHVEHOAXDRMNHZITRMFBXOGGRTQCSWKLTYOW
TLNPEEFBNCILXBPRHCKK, UMOQFFGCODJMYCQSIDLL
PEMQGNYBARGLLMIAPHKUGMYEKOBZLIRTNCDJZYLMZGFHZPBLDLTUZTNKHPRLRVQDFOPCCHPLTPQLRDRRHCCUJMQTCIZZEHUABIVUGFBMAQSYTBQVJDHOKDTHUPWIN, BQYCSZKNMDSXXYUMBTWGSYKQWANLXUDFZOPVLKXYLSRTLBNXPXFGLFZWTBDXDHCPRABOOTBXFBCXDPDDTOOGVYCFOULLQTGMNUHGSRNYMCEKFNCHVPTAWPFTGBIUZ
UHTQMOSILOJVUJKOOKVTADDXSSBQBHMQNCMEDEJAQ, IVHEACGWZCXJIXYCCYJHORRLGGPEPVAEBQASRSXOE
VZMZPUYLZWZYFRIQGODCOTTCRYKWLHLVWANKAKFLDTZXIXJXMWFUMNHUKMMZTWRI, SWJWMRVIWTWVCOFNDLAZLQQZOVHTIEISTXKHXHCIAQWUFUGUJTCRJKERHJJWQTOF
LSKDREZOLSWBNSFRSNBMESQLLTTIPIOUGUDROBOFZNCXVJSCZFHOLOHIHQFCHLLMHZVEHTANZTQGEDLGRCKFCDSCJTMDNCQOIVHLXLWHXPPEB, DKCVJWRGDKOTFKXJKFTEWKIDDLLAHAGMYMVJGTGXRFUPNBKURXZGDGZAZIXUZDDEZRNWZLSFRLIYWVDYJUCXUVKUBLEVFUIGANZDPDOZPHHWT
ENTWOWXZUGTEPOVWSVQCUNYBNGSVMRVRDNYMSUECFVKTFC, PYEHZHIKFREPAZGHDGBNFYJMYRDGXCGCOYJXDFPNQGVEQN
HTUYKXWZACLATAJL, FRSWIVUXYAJYRYHJ
SVNQSVQBXTZVAYRGIACRXZFKJCLWNH, KNFIKNITPLRNSQJYASUJPRXCBUDOFZ
VYSGJLBEOLGYRVWHJJXHPMKUDHTKIVCCOEHO, WZTHKMCFPMHZSWXIKKYIQNLVEIULJWDDPFIP
BXGAF, ZVEYD
XPLULROREFWVVOPSXLMKHZ, ASOXOURUHIZYYRSVAOPNKC
XPHKWAVRWKTXVINOKNMKZXTUVRCEVAPFYHOXBFJJPIXNIMSMLHUUGIMLKNWQBHRSYQPDEDTSRTRXVREKKMTBWKIJKMJOFJVJWKCXTXGIWGFHDOCIOYF, VNFIUYTPUIRVTGLMILKIXVRSTPACTYNDWFMVZDHHNGVLGKQKJFSSEGKJILUOZFPQWONBCBRQPRPVTPCIIKRZUIGHIKHMDHTHUIAVRVEGUEDFBMAGMWD
DMQNUZCUFWNZTXFBXWULQYWIVNTZSGJJZTNJQAKBWXINDRZUQBYDZYEAI, YHLIPUXPARIUOSAWSRPGLTRDQIOUNBEEUOIELVFWRSDIYMUPLWTYUTZVD
NDGNWSBDUHMEXEJUICXYCTIFCOQBQNURIXEBVWQLXYAXKSZHRN, JZCJSOXZQDIATAFQEYTUYPEBYKMXMJQNETAXRSMHTUWTGOVDNJ
DIKRPDAMMSHZICPRP, XCELJXUGGMBTCWJLJ
QMFPSQNANXPHVIBOTYAVPABLGJAXLCEPHKFEBRBRGJJHPBYRQWEIMBTVSDVIMQ, HDWGJHEREOGYMZSFKPRMGRSCXAROCTVGYBWVSISIXAAYGSPIHNVZDSKMJUMZDH
CAOUOFXKCOUDKAGEEDAXDLWYJIQUGXRHSUNPKFJWXWYLSFW, RPDJDUMZRDJSZPVTTSPMSALNYXFJVMGWHJCEZUYLMLNAHUL
HTZMQUGG, VHNAEIUU
ZCCONSWZWKTSFHRAGKJECREUDYNKYXUBMUXOXYKTNXXVGCRMVEYAWBNTNBSRNNUVFS, UXXJINRURFONACMVBFEZXMZPYTIFTSPWHPSJSTFOISSQBXMHQZTVRWIOIWNMIIPQAN
SPJAXXVBVRXBDUZBPLYGOPCBHJWUJMFFXQMRKLUQHFYZVEVRQOCOTHNVORMARDIYTQGBBWGJJBGOIAIRYNIVSPO, KHBSPPNTNJPTVMRTHDQYGHUTZBOMBEXXPIEJCDMIZXQRNWNJIGUGLZFNGJESJVAQLIYTTOYBBTYGASAJQFANKHG
ONHIKESFQOWABIJZDKOVNYMEJHONAXIHFZIXPBBACPVOBKPPNBCQCVYSBGTTJGKEKGOSWGJAQXPZWFPBMZCS, ZYSTVPDQBZHLMTUKOVZGYJXPUSZYLITSQKTIAMMLNAGZMVAAYMNBNGJDMREEURVPVRZDHRULBIAKHQAMXKND
OXXUVTOEJRAKHRXYSXCOVCHAYOPRCFQSUNROGEIIOMCEGHIOGFYQYSDVQLAXDP, TCCZAYTJOWFPMWCDXCHTAHMFDTUWHKVXZSWTLJNNTRHJLMNTLKDVDXIAVQFCIU
OZPISHKGVCOVZEIMLXAOQIBTQOWPXUYKXKOQPMHOBJJVISAFXWISEWQWZUCLR, EPFYIXAWLSELPUYCBNQEGYRJGEMFNKOANAEGFCXERZZLYIQVNMYIUMGMPKSBH
QQHLUKHJGMPAEITWIGSBZNBIVBTOGOGKLYXNZWKWGKLLFHTUDSPWENCTVWMVMMKAKCIJIPJYKCQYEM, TTKOXNKMJPSDHLWZLJVECQELYEWRJRJNOBAQCZNZJNOOIKWXGVSZHQFWYZPYPPNDNFLMLSMBNFTBHP
DWHBRHZXRCRFKHLFZLXLDWCEJLAFQQPCHAJJZSIYNIBACUZWZEVVNJXGLNGXPFOQA, BUFZPFXVPAPDIFJDXJVJBUACHJYDOONAFYHHXQGWLGZYASXUXCTTLHVEJLEVNDMOY
XYNICALSUWTCQAPKKKTRACQZCAUXL, KLAVPNYFHJGPDNCXXXGENPDMPNHKY
JYROWFGXFKQEZIXFPTCCKGJZGKJVDAJTRJBZZSTTFRCHTRCUCNKCYUMZHMICOTWBEGRCERGHKKBBWNHHXZSGNIUSQWUUCPAIMDTNSMGLTXQNTNFBBFODFHV, VKDAIRSJRWCQLUJRBFOOWSVLSWVHPMVFDVNLLEFFRDOTFDOGOZWOKGYLTYUOAFINQSDOQDSTWWNNIZTTJLESZUGECIGGOBMUYPFZEYSXFJCZFZRNNRAPRTH
FUOPXGVBJXRXWCQEOLIHBZZWWQQAUWLSCEZRTJREKXKPJLQBMTCBTSXPYSNHADEDNRVNRMFTZBZVFBPVENKSHFGVYNLPVKWUFNLRFNSAF, XMGHPYNTBPJPOUIWGDAZTRROOIISMODKUWRJLBJWCPCHBDITELUTLKPHQKFZSVWVFJNFJEXLRTRNXTHNWFCKZXYNQFDHNCOMXFDJXFKSX
BAEZEJWIUYEHQVASLRHFQIIIYYYFZMPUTPTGPSBJFQCDXFLUNXVMIIBEBDKUHGESTUNLIERHKGCHRAAYBCCXVYQGSW, YXBWBGTFRVBENSXPIOECNFFFVVVCWJMRQMQDMPYGCNZAUCIRKUSJFFYBYAHREDBPQRKIFBOEHDZEOXXVYZZUSVNDPT
DAAQPVCBMMUXUWDPERERNARQFSWVYNMWODZMDNKHOIBKRZUFFKPJZJSF, FCCSRXEDOOWZWYFRGTGTPCTSHUYXAPOYQFBOFPMJQKDMTBWHHMRLBLUH
KUWNTROWWNWSBPHHGYNFYDDCWHDTUCPUVWJRSQJPCWVTEAZVUVWRFABSZQCRNVAPHTOOCGJADZCLKUSKNYLJTAASYWHVQDMESKPGAJAJG, UEGXDBYGGXGCLZRRQIXPINNMGRNDEMZEFGTBCATZMGFDOKJFEFGBPKLCJAMBXFKZRDYYMQTKNJMVUECUXIVTDKKCIGRFANWOCUZQKTKTQ
XJGIRVNIXMYDHEFTFQCIPXSSIBHCAGVVMKXPDMYJCUFAJQCTEVRWYOFLBJYISWQXUJUNIZEDBALFMIHEAJXRBLXJVOTCPHWRXCRQSTHPRIUSTEHGCTOGIKNVIQEAYPB, TFCENRJETIUZDABPBMYELTOOEXDYWCRRIGTLZIUFYQBWFMYPARNSUKBHXFUEOSMTQFQJEVAZXWHBIEDAWFTNXHTFRKPYLDSNTYNMOPDLNEQOPADCYPKCEGJREMAWULX
YFHASPRBEEETWWMIJDOSTIHBZVLLNFNEZQVWJNSDCCAKJRNDSN, DKMFXUWGJJJYBBRNOITXYNMGEAQQSKSJEVABOSXIHHFPOWSIXS
ZYGK, NMUY
BPKECDSADQZVTAQCK, UIDXVWLTWJSOMTJVD
SYSBIRKDHZGBJOEZGBILQKTDDMNUEQABFDVIVSPKDRCXKTQEGZSQYFHGQHPMLOHGQMGYDWYPDOMCKEUXWCHVOLYV, HNHQXGZSWOVQYDTOVQXAFZISSBCJTFPQUSKXKHEZSGRMZIFTVOHFNUWVFWEBADWVFBVNSLNESDBRZTJMLRWKDANK
PNTWGNCWVXSMYJKLFGZLZIKZPCVCMZSRAAFZFFIYPJIJDAANQNQOUMLXZ, YWCFPWLFEGBVHSTUOPIUIRTIYLELVIBAJJOIOORHYSRSMJJWZWZXDVUGI
KGNZHYQKQ, XTAMULDXD
JEPHVPXBUZZJSZFGUSVABSBTECTXNPVHONLASFGBBDYQZMVAEGROAFQLHDXVALGDTWITUYOFI, PKVNBVDHAFFPYFLMAYBGHYHZKIZDTVBNUTRGYLMHHJEWFSBGKMXUGLWRNJDBGRMJZCOZAEULO
MMDPXCNKJGNWOQMUZGMOJSVGHSAEHEXINHBKHXNEMZCJKTHEDSZXBWYXDTQSLRADXWAGBWDNVLFYVTJYDSWMEYOFNTMSYKXZMRFMYI, RRIUCHSPOLSBTVRZELRTOXALMXFJMJCNSMGPMCSJREHOPYMJIXECGBDCIYVXQWFICBFLGBISAQKDAYODIXBRJDTKSYRXDPCERWKRDN
AMRDMSSLSUMTJSEFWBQNAZBLBUNRUUSWGVZGTJGQDPU, LXCOXDDWDFXEUDPQHMBYLKMWMFYCFFDHRGKREURBOAF
YXZRHIOWFAWMIBVYGCLBZBYKIDEOCDXGKKZPBJWQQZCEDJLTZVYIFDBSJSWOISWTMVYQKGHWIGOYJENRYPNBWMKCOOVOTC, GFHZPQWENIEUQJDGOKTJHJGSQLMWKLFOSSHXJREYYHKMLRTBHDGQNLJARAEWQAEBUDGYSOPEQOWGRMVZGXVJEUSKWWDWBK
EVXJLJLSBVONILNOVIFMMYFDFOBCPJIBVVPLUKLBGSPJLENGYOKNZINJRYJNBVNVHKS, HYAMOMOVEYRQLOQRYLIPPBIGIREFSMLEYYSOXNOEJVSMOHQJBRNQCLQMUBMQEYQYKNV
QTWTAREXURPKHGFSVBUQIANLXILXPIVXKPTUVJPQUYPCZPAVBZUEPJNOTPVQUCHECMCHLQRMVBUNMHLODVFTUWF, MPSPWNATQNLGDCBORXQMEWJHTEHTLERTGLPQRFLMQULYVLWRXVQALFJKPLRMQYDAYIYDHMNIRXQJIDHKZRBPQSB
OHUGSUKOLQLSSIMDZJCDEVLGHHMWWHRCNZILFNXEEQIWVHSEJUUSVUYFEOORAMERVUZSLJKLCTDKJZDTKRXSUIWXTNRXIHKPAKCGLFDYZNDHNFYEDJXXPVXEQ, GZMYKMCGDIDKKAEVRBUVWNDYZZEOOZJUFRADXFPWWIAONZKWBMMKNMQXWGGJSEWJNMRKDBCDULVCBRVLCJPKMAOPLFJPAZCHSCUYDXVQRFVZFXQWVBPPHNPWI
JAZHFIGUFENMNSVRPLLQLWUZXOVCMSWKSMFRVTTUOHWKNTDQXUFUYBJZLVNMODXKYUYERDFRHNCJRBHKAGPNRWFGOBXUPLIMYJKUGITLAHMPAIHKMXHANUK, EVUCADBPAZIHINQMKGGLGRPUSJQXHNRFNHAMQOOPJCRFIOYLSPAPTWEUGQIHJYSFTPTZMYAMCIXEMWCFVBKIMRABJWSPKGDHTEFPBDOGVCHKVDCFHSCVIPF
WYSAMDBSCGBKQKUMZIUDYMANLHDJSYKCKKLRKUPYUZVAYDOEHPZMCZWNZGCDQEXRYRISNBNGRSJSEMXZDRV, VXRZLCARBFAJPJTLYHTCXLZMKGCIRXJBJJKQJTOXTYUZXCNDGOYLBYVMYFBCPDWQXQHRMAMFQRIRDLWYCQU
GLXDLSLNJKCTMQPJ, OTFLTATVRSKBUYXR
ZSZYEARZOCROPVTWEVBOAEWJYBHZNYUYAKBYPNIZGGXYTMWZXBLMUMXOUOXSCUKWSUCJHGIX, BUBAGCTBQETQRXVYGXDQCGYLADJBPAWACMDARPKBIIZAVOYBZDNOWOZQWQZUEWMYUWELJIKZ
IXXLKTLGKEZBFNVQAKCMFQWVIDYTUUWAFMJIWVSPFQZKY, BQQEDMEZDXSUYGOJTDVFYJPOBWRMNNPTYFCBPOLIYJSDR
WBKLVJOWOQWXXBBYMNDIXKYNQKWHZEDLXMFADSWOGCVVMOFSIZMYJLCFPBPQBSVXFNTFBSDDDWFUZGPJYXJYAHISOZNJRHWBGNMHVDSXZKONZSLVQWLXR, INWXHVAIACIJJNNKYZPUJWKZCWITLQPXJYRMPEIASOHHYAREULYKVXORBNBCNEHJRZFRNEPPPIRGLSBVKJVKMTUEALZVDTINSZYTHPEJLWAZLEXHCIXJD
JPALBKEILRTVQHENCXZMT, YEPAQZTXAGIKFWTCRMOBI
LQOEOMQ, OTRHRPT
UMETXAHGEUWNFFQHXAHFZISMAOCHRAAYYX, RJBQUXEDBRTKCCNEUXECWFPJXLZEOXXVVU
ESTYZVPXAIUSLWQGNQJDSOEAAUMLOXUPSOEAVRREMIUXOVGTOBAWFLCKNDPOBFLROVIGLZGZM, FTUZAWQYBJVTMXRHORKETPFBBVNMPYVQTPFBWSSFNJVYPWHUPCBXGMDLOEQPCGMSPWJHMAHAN
WGDHLCRDZPIJMQPPFIRDMKAECRGTOQVYJEKVSLGIPAATKSESGJMZTTBZZELHOJPXMFSTBAYNZHZKWHBHENPYOUIDPWCPJPKSXLPOEAYCPEQYZSNITMWYUMYAJKAVQ, YIFJNETFBRKLOSRRHKTFOMCGETIVQSXALGMXUNIKRCCVMUGUILOBVVDBBGNJQLRZOHUVDCAPBJBMYJDJGPRAQWKFRYERLRMUZNRQGCAERGSABUPKVOYAWOACLMCXS
REVOPIZWHOEAMPUPYTRHEGFYNYCCVLKVDRRZX, WJATUNEBMTJFRUZUDYWMJLKDSDHHAQPAIWWEC
OEFKNLOFEHOZWWGLEBSLTFDCTNGNJMQATWDQMKFBICNOQGAMIGLUFCMEFAPBJIOIIZOYCWQUCYEPN, WMNSVTWNMPWHEEOTMJATBNLKBVOVRUYIBELYUSNJQKVWYOIUQOTCNKUMNIXJRQWQQHWGKEYCKGMXV
XVUKEFICUNFXBHNIIFKYZVGFTKFGSWMLEUFCOAQYCPEKDQQXDZPVPQPGLKTSKQTLJUZEBRWNDHRDL, OMLBVWZTLEWOSYEZZWBPQMXWKBWXJNDCVLWTFRHPTGVBUHHOUQGMGHGXCBKJBHKCALQVSINEUYIUC
UQPMRRZF, MIHEJJRX
SMSTDOLYYFLSVHSEEDUHSAFHIKZXWGVDBQEMTEALOUZUMWLWMNHTTWXVNLXYVOPLSUSSBLQTVJVUVRKFREHXHKYZNHQHTBRXJ, ICIJTEBOOVBILXIUUTKXIQVXYAPNMWLTRGUCJUQBEKPKCMBMCDXJJMNLDBNOLEFBIKIIRBGJLZLKLHAVHUXNXAOPDXGXJRHNZ
ZGOQSKSTQVJDYUPNZUUBLCH, DKSUWOWXUZNHCYTRDYYFPGL
WYZJLZALNRZQSJVFFXLBYLGWOQLUQOQVWOGZBFBZXYCSGIDSSWPGTKYXNJPXYWSWFJNMSPWTJRRYCEJQKTEUTKQIRTTBKXWICSRVPQ, KMNXZNOZBFNEGXJTTLZPMZUKCEZIECEJKCUNPTPNLMQGUWRGGKDUHYMLBXDLMKGKTXBAGDKHXFFMQSXEYHSIHYEWFHHPYLKWQGFJDE
TBBYKDRFPLTZMUG, UCCZLESGQMUANVH
EYMSATPWDXSPNXPBBHDNSFHMRJFIRZELZBQQYEIXPAAKPJJEHHXIOZYEAVZAPJLIXZHLZZPOPCUEYKPRQM, DXLRZSOVCWROMWOAAGCMREGLQIEHQYDKYAPPXDHWOZZJOIIDGGWHNYXDZUYZOIKHWYGKYYONOBTDXJOQPL
DZOEVRZWXSKGXLQXIVZEALOTRZEPXYLPEIJYZAZOAHBDBWNEVJMNWHQUTAEISCICSZDRRDLVPFQFFKLUZGPOVODWHVIOPBOMAYWA, RNCSJFNKLGYULZELWJNSOZCHFNSDLMZDSWXMNONCOVPRPKBSJXABKVEIHOSWGQWQGNRFFRZJDTETTYZINUDCJCRKVJWCDPCAOMKO
PDZBILWBUJEMPYWXSLLSGWEPCJJAGWKJMQXPGXHGV, RFBDKNYDWLGORAYZUNNUIYGRELLCIYMLOSZRIZJIX
FTOVWURQDBAIOIWZSISOZMZARQSYQVSKHHRBMXDEFQYLZVSSUZPTOWQXWVWEO, GUPWXVSRECBJPJXATJTPANABSRTZRWTLIISCNYEFGRZMAWTTVAQUPXRYXWXFP
TSYFBOYASIQBDSYGVWHBMIVDDNHCEPLDNMGODRXXKLRGWGLTWIZBAKYSQVNCPLBLGJREMJEOBOHGZSLLPJHHZZVFZQIYSELQAHQSHFMLYJBIRVCHTAH, YXDKGTDFXNVGIXDLABMGRNAIISMHJUQISRLTIWCCPQWLBLQYBNEGFPDXVASHUQGQLOWJROJTGTMLEXQQUOMMEEAKEVNDXJQVFMVXMKRQDOGNWAHMYFM
SOWYAMEDXRAKYXIBVOORJYLVODOBX, SOWYAMEDXRAKYXIBVOORJYLVODOBX
VJDTHEYUPZ, CQKAOLFBWG
BPLREHRRVEGPZSWZCXOCVUONXJEWQDRXIIDJGHJVAZNYKRZZPOZZOOGVVULZALJAWNHIGAGQAPAJRCEUPZNXBDADMOPBFZQZCRQYPNJYNDO, DRNTGJTTXGIRBUYBEZQEXWQPZLGYSFTZKKFLIJLXCBPAMTBBRQBBQQIXXWNBCNLCYPJKICISCRCLTEGWRBPZDFCFOQRDHBSBETSARPLAPFQ
AFTYRUBURKLUWPOMGILJNBONQQFEJBDEDISYHEREJLZJYQH, SXLQJMTMJCDMOHGEYADBFTGFIIXWBTVWVAKQZWJWBDRBQIZ
WRYBFYVNSMBKCWJEKMDIHFHNHROVYLHPMOBXMWYVKIHI, VQXAEXUMRLAJBVIDJLCHGEGMGQNUXKGOLNAWLVXUJHGH
YFTYHUUHGOAVSSTHCMIMDGZDVSBAGMZFUSOHAERSFWRSJWPQFJLCWBGUPQFVNPEOGYHAXTJIHPD, CJXCLYYLKSEZWWXLGQMQHKDHZWFEKQDJYWSLEIVWJAVWNATUJNPGAFKYTUJZRTISKCLEBXNMLTH
VUMAUHSNCCTOSCSCQBWINAHNROPGMJHUCENYUIJPXYXEWFYEIYYQLSJNNTOAQNQAGXGNLMJSDZSMEYZEIZFQGTFBFDTJZXHQENT, LKCQKXIDSSJEISISGRMYDQXDHEFWCZXKSUDOKYZFNONUMVOUYOOGBIZDDJEQGDGQWNWDBCZITPICUOPUYPVGWJVRVTJZPNXGUDJ
MEROOVCNZNABHBVDBIYEONDPDVKDMDEFAHWLSFZQBGKEMUPAJDASNVZSTWIWKHADRETVLYPMNDEWUKZYBCMMGFZFLUTZERUMQOICREMGBJILHWIC, CUHEELSDPDQRXRLTRYOUEDTFTLATCTUVQXMBIVPGRWAUCKFQZTQIDLPIJMYMAXQTHUJLBOFCDTUMKAPORSCCWVPVBKJPUHKCGEYSHUCWRZYBXMYS
CMCYSWAOXRHRDOGQXOKXFTVRLRWQTWRNJHBVYVGPQDELXLWSUTHXORJMNEWKAMUGDEM, BLBXRVZNWQGQCNFPWNJWESUQKQVPSVQMIGAUXUFOPCDKWKVRTSGWNQILMDVJZLTFCDL
XFAWXCBVFHTPHQSTBVPJXLIEBZUBSBGJFSLFJHFUJBSOJGGGMLKSEGSYJUWJLFEIPOPUTMNAKQNGUBXXQULTCEORZOEJSKINHGXZIDLRCL, FNIEFKJDNPBXPYABJDXRFTQMJHCJAJORNATNRPNCRJAWROOOUTSAMOAGRCERTNMQXWXCBUVISYVOCJFFYCTBKMWZHWMRASQVPOFHQLTZKT
XGMAZEKCEQPRSSPMELKYI, ENTHGLRJLXWYZZWTLSRFP
ZKFNDLTP, XIDLBJRN
UPYOCQCWJIFFAKCHBTIXBBNZMSKBNLEADNUEZOPCGPHBUWUTXUYOSWEWIDDKXTL, WRAQESEYLKHHCMEJDVKZDDPBOUMDPNGCFPWGBQREIRJDWYWVZWAQUYGYKFFMZVN
JTKXDWWZTLVJFRKICDDDJHCWLRLAXZTKI, SCTGMFFICUESOATRLMMMSQLFUAUJGICTR
MWVZKLUQZUZVLQNSTPNOQNWNZQPOIONQVUZETXGUHZJJDGUIBVEYKVSBFNRGAENYIFNSDNBDDWPVFDSABDEQZACOUO, EONRCDMIRMRNDIFKLHFGIFOFRIHGAGFINMRWLPYMZRBBVYMATNWQCNKTXFJYSWFQAXFKVFTVVOHNXVKSTVWIRSUGMG
SPETXZKEUVSEHVUWOFLCQFGIBQOSYXNOKWZTMVVJSKJFCMAZSNNNHHGCIIEDGPUKHTSAONDOGLGAZVOPSY, JGVKOQBVLMJVYMLNFWCTHWXZSHFJPOEFBNQKDMMAJBAWTDRQJEEEYYXTZZVUXGLBYKJRFEUFXCXRQMFGJP
EIBAQBFMYWHFCWNVIPPBQPSXTDLZIPK, VZSRHSWDPNYWTNEMZGGSHGJOKUCQZGB
CVNENSRAMCDUPRBFNVZEGSWOWUPGDFPHMPUYKVSZABUIXQYDILMDDDMSXXJUEYZCCCEBTVRGUQIBJIRYUTODVFTJARNOGGQZLABKRGNXMOXQ, MFXOXCBKWMNEZBLPXFJOQCGYGEZQNPZRWZEIUFCJKLESHAINSVWNNNWCHHTEOIJMMMOLDFBQEASLTSBIEDYNFPDTKBXYQQAJVKLUBQXHWYHA
NLQUCOKGMVLEWTIDPKGVTQAQORPGPFIOKJZXQUFAONPAQSWPOYOEOQSHOMHNNSTXJSWA, QOTXFRNJPYOHZWLGSNJYWTDTRUSJSILRNMCATXIDRQSDTVZSRBRHRTVKRPKQQVWAMVZD
